Crop,Year,Country,Region,avgtemp,precipitation,co2,yield,extremeevents,irrigationaccess,pesticideuse,fertilizeruse,soilhealth,strategies,economicimpact,irrigationtype,soiltype,season,soilimpact,Machine_Name,Function,Features
Maize,1992,France,Ile-de-France,5.33,417.15,28.52,0.63,1,66.63,2.52,3.28,83.43,Water Management,134.8,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2013,France,Grand Est,18.0,2585.68,25.34,2.862,1,18.32,32.15,99.05,61.36,No Adaptation,1226.79,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2013,Russia,Siberian,34.35,2825.44,9.33,2.66,3,11.33,6.16,71.9,89.66,Crop Rotation,961.94,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2008,Canada,Ontario,22.26,466.36,3.79,2.727,7,24.41,28.03,72.49,35.64,Crop Rotation,1021.99,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2022,Brazil,Southeast,20.67,2672.82,12.6,3.66,3,49.66,2.04,78.79,68.92,Water Management,893.68,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2013,Russia,Central,24.53,1510.77,5.02,3.96,1,83.69,34.39,23.27,74.11,Drought-resistant Crops,1139.72,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2016,Australia,Victoria,22.75,2117.48,25.73,2.574,5,46.0,36.9,11.64,83.55,Organic Farming,580.58,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2023,Canada,Quebec,13.66,250.47,10.94,1.737,4,45.4,24.93,16.93,75.18,Crop Rotation,253.39,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2021,Argentina,Northwest,19.42,1049.71,19.52,2.466,2,83.19,13.51,42.46,61.47,Crop Rotation,277.87,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,2020,Brazil,Northeast,6.02,2141.14,18.0,2.502,1,74.0,4.71,96.73,61.39,Water Management,381.25,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2012,Russia,Siberian,6.63,372.08,13.98,1.296,2,99.05,1.27,51.58,45.17,No Adaptation,418.1,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,1996,Australia,Western Australia,14.84,2765.15,14.43,2.16,0,74.25,39.84,42.36,57.56,Crop Rotation,454.73,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2005,Russia,Northwestern,-1.29,1960.5,23.16,0.7290000000000001,8,29.12,2.41,54.94,88.83,Organic Farming,156.06,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2021,Russia,Northwestern,9.91,327.03,27.27,1.872,8,29.57,48.85,28.42,41.06,Drought-resistant Crops,480.46,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2006,France,Grand Est,31.83,1656.12,12.09,2.39,8,87.73,36.57,61.91,59.26,Organic Farming,799.67,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,1994,China,North,2.12,2168.59,2.25,1.35,4,52.36,20.82,25.64,56.44,Organic Farming,555.52,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2010,Nigeria,South West,-1.78,1576.99,0.55,2.24,1,21.6,20.23,72.73,64.96,No Adaptation,413.94,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2000,Nigeria,North West,18.99,355.44,7.96,4.473,6,33.89,38.66,67.81,72.7,No Adaptation,1634.91,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2017,Nigeria,North Central,1.4,1784.86,22.3,1.62,10,24.7,1.76,22.37,82.82,Drought-resistant Crops,752.91,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2018,Russia,Northwestern,7.8,1923.69,28.8,0.963,1,98.58,24.2,8.35,39.45,Crop Rotation,280.28,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,1992,Nigeria,North Central,0.52,969.88,2.15,2.01,1,57.96,21.1,55.61,30.49,Drought-resistant Crops,555.59,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2004,India,Punjab,-3.3,564.22,7.47,1.24,0,74.05,47.81,41.47,45.64,Crop Rotation,368.9,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,1997,Brazil,South,-0.1,564.57,16.36,1.269,3,23.37,27.46,44.1,56.97,Drought-resistant Crops,585.98,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2014,Nigeria,North West,32.31,881.06,22.01,2.007,5,35.6,38.3,89.6,78.13,Crop Rotation,717.21,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,1991,Australia,Victoria,24.28,371.93,11.22,2.007,0,57.27,36.56,78.73,55.44,Water Management,643.67,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2023,Argentina,Pampas,13.19,2256.83,19.69,3.042,2,95.72,40.19,50.0,36.7,Water Management,987.7,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2012,Nigeria,North West,18.69,2232.5,20.58,3.564,6,29.63,41.09,35.99,38.13,Crop Rotation,1026.57,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2018,Canada,British Columbia,16.56,1806.69,22.7,4.041,3,79.74,40.42,88.98,93.2,Drought-resistant Crops,1589.23,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2001,China,East,3.97,2507.34,26.14,0.972,10,16.71,41.37,37.25,94.56,Crop Rotation,431.61,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,1993,Nigeria,South West,-0.57,2775.29,20.83,1.827,4,83.35,8.62,83.78,48.72,No Adaptation,839.53,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,1996,India,West Bengal,6.08,814.97,9.31,1.8,0,62.89,1.43,2.08,65.45,Organic Farming,795.14,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,1995,USA,South,28.33,2281.18,12.5,3.25,6,46.05,43.74,10.68,43.8,Drought-resistant Crops,1195.84,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2020,France,Provence-Alpes-Cote d’Azur,11.81,1180.73,17.07,3.456,8,94.85,7.14,5.98,53.19,Drought-resistant Crops,828.7,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,1991,USA,Northeast,15.93,2758.27,21.55,1.62,4,31.67,45.86,23.09,30.27,Organic Farming,555.31,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,1991,Russia,Siberian,-4.64,2040.78,18.51,1.242,4,53.51,18.62,1.97,93.75,Organic Farming,143.0,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,1991,Russia,Northwestern,31.24,1109.2,18.55,3.276,0,34.66,5.5,37.25,39.37,No Adaptation,772.48,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2004,Brazil,Southeast,20.65,519.87,4.55,2.53,5,40.28,2.41,54.88,61.9,No Adaptation,451.93,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,1999,Russia,Northwestern,15.54,2917.8,29.81,1.737,5,60.04,34.35,4.49,62.84,Organic Farming,413.61,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,1998,Argentina,Northeast,34.25,624.36,16.86,3.231,8,20.92,3.98,84.6,43.96,Water Management,1477.16,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2011,France,Nouvelle-Aquitaine,34.25,2459.85,18.39,2.259,0,51.26,32.87,31.21,52.17,Drought-resistant Crops,885.91,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2017,Russia,Central,-0.21,2156.32,8.65,1.39,3,31.88,41.01,4.48,87.36,Water Management,329.67,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2004,Canada,British Columbia,21.19,341.66,24.81,1.278,1,60.66,4.32,67.26,60.49,Water Management,399.54,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,1990,China,North,3.6,2789.27,19.98,1.944,7,26.58,3.03,47.72,89.95,Drought-resistant Crops,422.57,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,1993,Argentina,Northeast,23.53,2832.1,26.22,1.278,8,67.9,5.73,9.5,80.7,Water Management,408.82,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2004,Canada,British Columbia,27.09,2274.65,4.71,2.92,5,92.43,17.63,2.6,71.98,Crop Rotation,1291.27,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2003,Brazil,Southeast,11.51,813.11,9.62,3.2,1,59.87,8.01,90.49,56.64,No Adaptation,452.97,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2010,Canada,Quebec,11.49,2562.84,23.76,2.178,3,55.7,27.73,26.04,87.64,Drought-resistant Crops,439.12,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,1992,Nigeria,South East,8.97,882.62,29.08,0.909,2,19.16,43.57,49.75,51.73,No Adaptation,292.81,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2020,Russia,Northwestern,13.35,304.64,16.12,3.924,8,34.77,33.29,44.96,74.67,Organic Farming,1864.02,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2017,Brazil,South,9.55,2600.49,6.56,1.5,5,98.38,38.15,66.12,44.11,Organic Farming,225.8,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,1993,Russia,Siberian,8.88,1926.65,23.12,0.882,1,39.61,27.47,63.5,93.85,Water Management,166.05,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,1999,Canada,Ontario,-1.47,2430.64,28.24,2.457,1,89.34,10.23,70.36,46.11,Drought-resistant Crops,873.92,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,1996,France,Grand Est,29.79,2642.22,24.02,2.4480000000000004,5,15.54,6.82,58.15,52.43,No Adaptation,1087.66,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2002,France,Ile-de-France,1.55,2676.48,27.13,2.259,5,41.7,13.69,56.02,99.73,Organic Farming,907.99,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,1997,Russia,Northwestern,16.13,992.6,23.07,2.7,4,10.21,11.55,58.49,92.42,No Adaptation,335.23,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2013,China,East,3.98,297.09,13.88,0.5760000000000001,9,10.18,8.24,78.69,98.91,Organic Farming,186.08,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2021,USA,West,29.15,2326.94,22.34,1.332,4,13.06,14.34,92.5,36.85,Drought-resistant Crops,232.64,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,1998,Russia,Volga,24.34,941.17,25.46,3.204,0,46.06,37.16,58.82,31.14,Water Management,1499.35,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2009,Brazil,South,7.59,2157.28,25.89,1.89,2,42.22,49.52,77.58,86.98,Water Management,426.98,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,1996,Brazil,South,34.76,247.44,8.42,2.52,2,52.69,6.56,10.86,56.99,Water Management,837.28,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2023,India,Tamil Nadu,-0.44,2879.03,6.58,1.43,9,70.56,19.53,33.9,91.04,No Adaptation,226.76,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2018,Nigeria,South West,12.64,484.8,14.71,2.898,3,70.68,36.22,86.79,86.23,Drought-resistant Crops,810.69,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2022,Russia,Central,18.8,1261.62,6.68,4.87,6,53.17,37.58,48.45,85.18,Water Management,1547.07,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2018,USA,Northeast,25.76,1406.84,1.59,1.92,1,45.05,21.66,62.14,92.98,Water Management,932.2,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,1999,Argentina,Northeast,2.42,478.83,4.86,1.404,4,75.37,41.05,98.98,63.28,Crop Rotation,471.43,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2005,Russia,Central,8.0,2106.72,19.58,1.314,0,36.9,42.24,32.05,88.4,No Adaptation,334.28,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2016,France,Provence-Alpes-Cote d’Azur,19.18,721.4,10.31,2.45,9,96.32,26.06,30.61,51.93,Organic Farming,477.57,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2011,Brazil,North,3.63,1770.91,12.4,0.94,9,62.26,28.28,83.98,88.08,Crop Rotation,115.84,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2009,Canada,Prairies,-1.97,1580.29,20.4,1.755,1,86.99,14.26,33.58,40.1,Organic Farming,537.35,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,1997,USA,Northeast,34.75,2272.05,24.64,2.934,9,68.75,31.16,38.53,97.49,Crop Rotation,1167.84,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,1995,Brazil,South,17.5,1934.47,20.3,2.763,3,57.53,48.06,94.62,34.52,Crop Rotation,1188.54,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2006,China,East,6.33,1769.14,26.98,1.476,7,24.31,0.7,31.96,42.17,Crop Rotation,188.36,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2012,Canada,British Columbia,29.79,1508.89,29.82,2.25,4,43.12,49.8,16.13,65.17,No Adaptation,293.76,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,1990,Russia,Central,34.78,1103.53,8.05,1.2,9,95.71,9.66,18.72,85.83,No Adaptation,540.27,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2020,China,South,5.01,2397.23,2.66,1.55,6,95.23,44.83,39.34,89.57,Water Management,665.97,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2003,Argentina,Northeast,14.37,1230.78,24.22,2.745,4,72.15,45.11,75.77,38.21,Organic Farming,913.84,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2001,Nigeria,North Central,11.15,890.49,6.42,3.26,0,66.01,19.98,55.44,85.74,Organic Farming,988.05,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2000,Canada,Ontario,25.2,1376.49,23.75,1.584,3,51.1,17.33,85.9,46.38,Crop Rotation,375.24,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,1998,Argentina,Patagonia,-4.35,1300.41,12.03,1.24,5,17.03,6.43,94.39,30.66,Crop Rotation,269.27,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2000,Argentina,Pampas,3.77,317.92,13.7,2.259,0,18.34,10.25,60.39,99.53,Water Management,585.76,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2001,France,Nouvelle-Aquitaine,22.95,2732.01,14.03,1.16,10,35.22,19.95,84.4,87.13,Drought-resistant Crops,226.03,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2010,Brazil,North,28.93,2711.06,12.47,1.69,6,25.64,3.56,60.76,33.99,No Adaptation,499.59,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2015,Argentina,Patagonia,27.08,2620.81,11.81,3.57,3,86.76,9.39,51.6,66.79,No Adaptation,1589.01,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2009,Nigeria,North West,29.24,1069.15,9.37,3.27,7,67.5,23.66,67.46,82.28,Organic Farming,473.78,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2017,Canada,British Columbia,10.31,2698.13,21.87,2.493,10,73.71,5.12,81.45,84.3,No Adaptation,573.45,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2005,Australia,New South Wales,14.58,1367.84,16.55,4.284,3,92.98,37.27,8.65,67.57,No Adaptation,2061.45,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2003,India,Punjab,26.8,1727.28,29.92,2.853,3,15.88,20.09,17.68,39.54,Water Management,323.35,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2011,Canada,Ontario,19.55,1033.03,7.95,4.39,0,15.07,45.11,47.93,87.63,Organic Farming,781.9,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,1998,Canada,Prairies,13.08,2957.71,18.01,2.754,10,31.09,14.34,60.83,36.11,Organic Farming,666.65,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2024,USA,West,-2.83,2985.78,8.15,1.43,6,79.55,37.52,56.24,57.82,No Adaptation,156.65,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2008,Australia,Victoria,14.71,2745.21,7.87,3.61,10,85.82,35.31,71.56,69.94,No Adaptation,774.46,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2010,Nigeria,South West,16.87,260.99,17.7,3.195,10,79.81,13.82,23.67,73.38,Crop Rotation,1059.89,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2012,Nigeria,North West,3.95,1010.65,21.09,0.9,2,89.13,45.1,50.38,45.96,Organic Farming,237.79,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2018,France,Ile-de-France,-3.95,396.69,12.84,1.719,3,90.62,46.64,46.46,65.69,Organic Farming,748.6,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2016,India,Punjab,6.07,2159.83,28.97,0.468,0,64.32,42.92,34.82,88.55,Water Management,136.26,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2006,Argentina,Pampas,3.52,1009.8,19.37,1.395,0,15.71,47.84,59.36,80.06,No Adaptation,346.24,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2023,Brazil,Northeast,5.96,976.3,21.1,2.25,1,23.77,32.37,86.48,67.13,Drought-resistant Crops,639.01,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,1991,India,West Bengal,-1.4,2771.04,26.67,1.845,3,13.13,5.76,64.97,92.64,Drought-resistant Crops,195.34,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2005,Nigeria,South East,20.68,2988.23,0.82,1.35,2,76.59,33.78,66.99,79.5,Drought-resistant Crops,604.43,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,1995,France,Provence-Alpes-Cote d’Azur,26.83,2514.87,14.05,0.94,0,55.49,13.29,48.98,55.31,Water Management,146.4,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2004,USA,Northeast,10.83,1297.79,29.66,3.708,7,72.24,23.15,29.97,80.95,Water Management,924.51,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2011,USA,Northeast,10.43,1800.53,13.88,2.75,0,30.23,28.89,41.09,67.96,Water Management,354.35,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2022,Nigeria,North Central,8.72,2952.33,2.33,1.85,10,85.76,42.34,61.34,98.3,Water Management,616.6,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,2010,USA,South,9.43,1861.13,2.88,0.83,1,97.86,36.13,57.51,99.21,Organic Farming,138.01,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2001,China,East,16.22,2448.7,27.09,4.4910000000000005,10,33.43,42.51,2.98,63.95,Drought-resistant Crops,1543.47,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2012,Australia,New South Wales,11.4,1852.43,3.94,3.23,7,43.0,46.46,82.36,44.08,Drought-resistant Crops,1129.98,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2016,Nigeria,South West,10.45,800.02,19.32,3.933,4,92.02,1.69,73.58,48.19,Crop Rotation,1603.57,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2013,India,Punjab,32.47,354.71,21.87,1.4580000000000002,0,45.41,43.48,96.99,77.85,Water Management,536.51,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2000,USA,Midwest,10.14,1982.23,3.33,4.89,7,36.24,29.18,8.57,72.18,Water Management,1037.39,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2001,Brazil,North,25.08,2640.72,3.5,3.12,3,64.97,0.3,34.36,54.81,Drought-resistant Crops,809.04,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2012,Nigeria,North West,-4.55,755.18,29.69,0.909,7,42.4,6.89,33.29,86.72,Water Management,207.25,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
